contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY251103C00500000,2025-10-31 14:33:44+00:00,500.0,183.74,0.0,0.0,0.0,0.0,15.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00530000,2025-10-31 16:20:18+00:00,530.0,150.88,0.0,0.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00535000,2025-10-31 16:22:10+00:00,535.0,146.0,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00540000,2025-10-29 15:15:20+00:00,540.0,148.62,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00550000,2025-10-31 17:23:09+00:00,550.0,129.89,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00555000,2025-10-31 17:24:39+00:00,555.0,124.92,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00560000,2025-10-21 17:09:25+00:00,560.0,112.7,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00565000,2025-10-27 13:59:39+00:00,565.0,118.39,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00575000,2025-10-31 13:57:59+00:00,575.0,108.42,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00580000,2025-10-31 17:45:05+00:00,580.0,100.5,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00585000,2025-10-30 19:26:37+00:00,585.0,96.38,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00590000,2025-10-20 20:09:51+00:00,590.0,82.73,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00595000,2025-10-31 15:02:22+00:00,595.0,89.79,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00600000,2025-10-30 14:40:21+00:00,600.0,84.83,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00605000,2025-10-30 14:41:45+00:00,605.0,80.04,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00610000,2025-10-31 16:32:09+00:00,610.0,73.42,0.0,0.0,0.0,0.0,58.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00615000,2025-10-31 16:44:35+00:00,615.0,67.4,0.0,0.0,0.0,0.0,18.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00620000,2025-10-31 19:29:32+00:00,620.0,64.28,0.0,0.0,0.0,0.0,239.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00625000,2025-10-31 18:24:15+00:00,625.0,57.01,0.0,0.0,0.0,0.0,283.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00630000,2025-10-31 14:25:14+00:00,630.0,53.25,0.0,0.0,0.0,0.0,162.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00635000,2025-10-30 15:12:47+00:00,635.0,51.59,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00640000,2025-10-31 18:12:10+00:00,640.0,41.78,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY251103C00641000,2025-10-31 15:48:17+00:00,641.0,42.09,0.0,0.0,0.0,0.0,8.0,0,1.0000000000000003e-05,True,REGULAR,USD
