time,event_name
2015-10-13,US Presidential Election First Democratic primary debate
2015-10-28,US Presidential Election Third Republican primary debate
2016-02-01,US Presidential Election Iowa caucuses
2016-03-01,US Presidential Election Super Tuesday primaries
2016-07-18,US Presidential Election RNC convention (Trump nominated)
2016-07-25,US Presidential Election DNC convention (Clinton nominated)
2016-09-26,US Presidential Election First presidential debate
2016-10-09,US Presidential Election Second presidential debate
2016-10-19,US Presidential Election Third presidential debate
2016-11-08,US Presidential Election Day 2016 (Trump wins)
2016-12-19,US Presidential Election Electoral College vote
2017-01-06,US Presidential Election Congress certifies EC result
2017-01-20,US Presidential Election Inauguration Trump 45th
2019-06-26,US Presidential Election First Democratic primary debate
2020-02-03,US Presidential Election Iowa caucuses (APP fiasco)
2020-03-15,US Presidential Election Biden seals primary lead (COVID halt)
2020-08-11,US Presidential Election Kamala Harris VP pick
2020-08-20,US Presidential Election DNC convention (Biden nominated)
2020-08-27,US Presidential Election RNC convention (Trump nominated)
2020-09-29,US Presidential Election First presidential debate
2020-10-07,US Presidential Election Vice-presidential debate
2020-10-22,US Presidential Election Final presidential debate
2020-11-03,US Presidential Election Day 2020 (Biden wins)
2020-12-14,US Presidential Election Electoral College vote
2021-01-06,US Presidential Election Congress certification / Capitol riot
2021-01-20,US Presidential Election Inauguration Biden 46th
2023-04-25,US Presidential Election Biden announces re-election bid
2023-08-23,US Presidential Election First GOP primary debate
2024-03-05,US Presidential Election Super Tuesday primaries
2024-07-13,US Presidential Election Trump assassination attempt
2024-07-15,US Presidential Election RNC convention (Trump nominated)
2024-07-21,US Presidential Election Biden drops out; Harris enters
2024-08-19,US Presidential Election DNC convention (Harris nominated)
2024-09-10,US Presidential Election Presidential debate (Harris vs Trump)
2024-11-05,US Presidential Election Day 2024 (Trump wins)
2024-12-17,US Presidential Election Electoral College vote
2025-01-06,US Presidential Election Congress certifies Trump victory
2025-01-20,US Presidential Election Inauguration Trump 47th
2025-04-02,US Presidential Election Liberation Day tariff rollout
2025-07-04,US Presidential Election Independence-Day tariff pause
2025-10-20,US Presidential Election Next FEC quarterly filing deadline
2015-01-28,US Market Summit FOMC Statement
2015-03-18,US Market Summit FOMC w/ SEP
2015-04-29,US Market Summit FOMC Statement
2015-06-07,US Market Summit G7 Summit
2015-06-17,US Market Summit FOMC w/ SEP
2015-07-29,US Market Summit FOMC Statement
2015-09-17,US Market Summit FOMC w/ SEP
2015-10-28,US Market Summit FOMC Statement
2015-11-15,US Market Summit G20 Summit
2015-12-15,US Market Summit WTO MC10
2015-12-16,US Market Summit FOMC w/ SEP
2016-01-27,US Market Summit FOMC Statement
2016-03-16,US Market Summit FOMC w/ SEP
2016-05-26,US Market Summit G7 Summit
2016-06-15,US Market Summit FOMC w/ SEP
2016-08-26,US Market Summit Jackson Hole
2016-09-04,US Market Summit G20 Summit
2016-09-21,US Market Summit FOMC w/ SEP
2016-11-30,US Market Summit OPEC+
2016-12-14,US Market Summit FOMC w/ SEP
2017-03-15,US Market Summit FOMC w/ SEP
2017-05-26,US Market Summit G7 Summit
2017-06-14,US Market Summit FOMC w/ SEP
2017-07-07,US Market Summit G20 Summit
2017-08-25,US Market Summit Jackson Hole
2017-09-20,US Market Summit FOMC w/ SEP
2017-12-13,US Market Summit FOMC w/ SEP
2018-03-21,US Market Summit FOMC w/ SEP
2018-06-08,US Market Summit G7 Summit
2018-06-13,US Market Summit FOMC w/ SEP
2018-08-24,US Market Summit Jackson Hole
2018-09-26,US Market Summit FOMC w/ SEP
2018-11-30,US Market Summit G20 Summit
2018-12-19,US Market Summit FOMC w/ SEP
2019-03-20,US Market Summit FOMC w/ SEP
2019-06-19,US Market Summit FOMC w/ SEP
2019-06-28,US Market Summit G20 Summit
2019-08-23,US Market Summit Jackson Hole
2019-08-24,US Market Summit G7 Summit
2019-09-18,US Market Summit FOMC w/ SEP
2019-10-30,US Market Summit FOMC Statement
2020-03-03,US Market Summit FOMC Emergency
2020-03-15,US Market Summit FOMC Emergency
2020-03-26,US Market Summit G20 Extraord.
2020-04-29,US Market Summit FOMC Statement
2020-06-10,US Market Summit FOMC w/ SEP
2020-07-29,US Market Summit FOMC Statement
2020-09-16,US Market Summit FOMC w/ SEP
2020-11-05,US Market Summit FOMC Statement
2020-11-21,US Market Summit APEC
2020-12-16,US Market Summit FOMC w/ SEP
2021-03-17,US Market Summit FOMC w/ SEP
2021-04-28,US Market Summit FOMC Statement
2021-06-11,US Market Summit G7 Summit
2021-06-16,US Market Summit FOMC w/ SEP
2021-07-28,US Market Summit FOMC Statement
2021-08-27,US Market Summit Jackson Hole
2021-09-22,US Market Summit FOMC w/ SEP
2021-10-30,US Market Summit G20 Summit
2021-11-03,US Market Summit FOMC Statement
2021-12-15,US Market Summit FOMC w/ SEP
2022-03-16,US Market Summit FOMC w/ SEP
2022-05-04,US Market Summit FOMC Statement
2022-06-15,US Market Summit FOMC w/ SEP
2022-06-26,US Market Summit G7 Summit
2022-07-27,US Market Summit FOMC Statement
2022-08-26,US Market Summit Jackson Hole
2022-09-21,US Market Summit FOMC w/ SEP
2022-10-05,US Market Summit OPEC+ Ministerial
2022-11-02,US Market Summit FOMC Statement
2022-11-15,US Market Summit G20 Summit
2022-12-14,US Market Summit FOMC w/ SEP
2023-02-01,US Market Summit FOMC Statement
2023-03-22,US Market Summit FOMC w/ SEP
2023-05-03,US Market Summit FOMC Statement
2023-05-19,US Market Summit G7 Summit
2023-06-14,US Market Summit FOMC w/ SEP
2023-07-26,US Market Summit FOMC Statement
2023-08-24,US Market Summit Jackson Hole
2023-09-09,US Market Summit G20 Summit
2023-09-20,US Market Summit FOMC w/ SEP
2023-10-25,US Market Summit FOMC Statement
2023-12-13,US Market Summit FOMC w/ SEP
2024-01-31,US Market Summit FOMC Statement
